velocity,steering_angle
29.99086302,0
29.97506945,0
29.95917119,0
29.943308,0
29.92742013,0
29.91153059,0
29.89564454,0
29.87976745,0
29.86390404,0
29.84805873,0
29.83223456,0
29.81642744,0
29.80063812,0
29.78486571,0
29.76910859,0
29.7533652,0
29.73763407,0
29.72191394,0
29.70620387,0
29.69050304,0
29.67481065,0
29.65912779,0
29.6434545,0
29.62779087,0
29.61213712,0
29.59649347,0
29.58086016,0
29.56523739,0
29.54962532,0
29.53402409,0
29.51843388,0
29.50285466,0
29.48728634,0
29.47172887,0
29.45618219,0
29.44064622,0
29.42512089,0
29.40960612,0
29.39410188,0
29.3786081,0
29.36312477,0
29.3476519,0
29.33218946,0
29.31673744,0
29.30129585,0
29.28586468,0
29.27044392,0
29.25503358,0
29.23963365,0
29.22424413,0
29.20886502,0
29.19349629,0
29.17813795,0
29.16278997,0
29.14745234,0
29.13212504,0
29.11680806,0
29.10150138,0
29.08620499,0
29.07091887,0
29.05564301,0
29.0403774,0
29.02512203,0
29.00987688,0
28.99464194,0
28.9794172,0
28.96420266,0
28.94899829,0
28.93380409,0
28.91862005,0
28.90344615,0
28.88828239,0
28.87312874,0
28.8579852,0
28.84285176,0
28.82772839,0
28.8126151,0
28.79751219,4.5
28.78231615,16.5
28.76638119,28.5
28.74907233,40.5
28.72984933,52.5
28.70783332,64.5
28.68187224,76.5
28.65076601,88.5
28.61372165,90
28.57241376,90
28.52743067,90
28.4756166,90
28.40347562,90
28.29846831,69
28.1637349,45
28.02450612,21
27.89134651,-3
27.79559546,-27
27.71964918,-51
27.64356461,-75
27.56444241,-90
27.49623205,-90
27.43109649,-90
27.33794258,-90
27.20469526,-90
27.03537249,-85.5
26.8320594,-73.5
26.60863331,-61.5
26.39337134,-49.5
26.18105874,-37.5
25.96828682,-25.5
25.79834933,-13.5
25.75579955,-1.5
25.72858589,0
25.70760589,0
25.69175708,0
25.67826223,0
25.66611639,0
25.65451347,0
25.64283203,0
25.6307237,0
25.61832316,0
25.6055133,0
25.59252309,0
25.57946006,0
25.56631309,0
25.55311695,0
25.53992678,0
25.5267312,-10.5
25.51315399,-22.5
25.49849995,-34.5
25.48231403,-46.5
25.46400363,-58.5
25.44271789,-70.5
25.41751861,-82.5
25.38752373,-90
25.35337813,-90
25.31683683,-90
25.27762053,-90
25.23572677,-90
25.19125192,-81
25.14682528,-57
25.10728987,-33
25.07332469,-9
25.0450569,15
25.02274965,39
25.0058583,63
24.98998471,87
24.96945933,90
24.94454456,90
24.9041577,90
24.83048928,90
24.72258072,90
24.57829199,79.5
24.4023176,67.5
24.20353703,55.5
24.00294708,43.5
23.7938114,31.5
23.60466197,19.5
23.52106543,7.5
23.48541935,0
23.45909292,0
23.44064172,0
23.42629419,0
23.4143262,0
23.40360999,0
23.39332893,0
23.38278451,0
23.3718837,0
23.36069571,0
23.34911632,0
23.33736481,0
23.3255504,0
23.31366161,0
23.30173276,0
23.28981199,0
23.27788853,0
23.26594924,0
23.2540055,0
23.24209262,0
23.23020097,0
23.21835137,0
23.20654856,0
23.19479769,0
23.18308252,0
23.17139149,0
23.15970574,0
23.14802173,0
23.13634021,0
23.12466097,0
23.11298244,0
23.10130428,0
23.08962681,0
23.07795278,0
23.06628293,0
23.05461514,0
23.04294942,0
23.03128767,0
23.01963062,0
23.00797982,0
22.99633614,0
22.98470058,0
22.97307443,0
22.96145558,0
22.94984403,0
22.93823962,0
22.92664192,0
22.9150506,0
22.90346541,0
22.89188616,0
22.88031271,0
22.86874513,0
22.85718353,0
22.84562773,0
22.83407769,0
22.82253345,0
22.81099507,0
22.79946259,0
22.7879361,0
22.7764157,0
22.76490155,0
22.75339358,0
22.74189176,0
22.73039607,0
22.71890648,0
22.70742295,0
22.69594546,0
22.68447399,0
22.67300852,0
22.66154906,0
22.65009559,0
22.6386481,0
22.62720657,0
22.61577098,0
22.60434136,0
22.59291769,0
22.58149997,0
22.57008821,0
22.5586824,0
22.54728254,0
22.53588864,0
22.52450066,0
22.51311862,0
22.5017425,0
22.4903723,0
22.47900801,0
22.46764962,0
22.45629712,0
22.44495051,0
22.43360977,0
22.42227492,0
22.41094593,0
22.39962281,0
